Municipio,Tasa_Enero,Tasa_Diciembre
Albacete,0.0971,0.0874
Alcalá de Henares,0.0732,0.0636
Alcobendas,0.0516,0.0461
Alcorcón,0.0672,0.0588
Algeciras,0.1288,0.1209
Alicante/Alacant,0.0932,0.0863
Almería,0.1102,0.1016
Badajoz,0.1165,0.1077
Badalona,0.0711,0.0666
Barcelona,0.0489,0.0455
Bilbao,0.0754,0.0709
Burgos,0.0669,0.0572
Cádiz,0.1197,0.1058
Cartagena,0.0897,0.0828
Castellón de la Plana/Castelló de la Plana,0.0868,0.0792
Córdoba,0.1182,0.1063
"Coruña, A",0.0772,0.0708
Donostia/San Sebastián,0.0493,0.0449
Dos Hermanas,0.1334,0.1248
Elche/Elx,0.1135,0.1084
Fuenlabrada,0.0832,0.0705
Getafe,0.0737,0.064
Gijón,0.0897,0.0802
Granada,0.1036,0.0969
"Hospitalet de Llobregat, L'",0.0657,0.0585
Huelva,0.1147,0.1137
Jaén,0.0849,0.0763
Jerez de la Frontera,0.1517,0.1381
Leganés,0.075,0.0641
León,0.0775,0.0694
Lleida,0.0678,0.0648
Logroño,0.0692,0.0613
Madrid,0.0592,0.0535
Málaga,0.1174,0.1086
Marbella,0.0987,0.0924
Mataró,0.0854,0.0789
Móstoles,0.0771,0.0667
Murcia,0.0787,0.0731
Ourense,0.0833,0.0713
Oviedo,0.0786,0.0692
Palma de Mallorca,0.067,0.0616
"Palmas de Gran Canaria, Las",0.1191,0.11
Pamplona/Iruña,0.0701,0.0604
Parla,0.1004,0.0887
Reus,0.077,0.0702
Sabadell,0.0684,0.065
Salamanca,0.0852,0.0786
San Cristóbal de La Laguna,0.1174,0.1117
Santa Coloma de Gramenet,0.0767,0.0699
Santa Cruz de Tenerife,0.1083,0.1038
Santander,0.076,0.0664
Sevilla,0.1119,0.1034
Tarragona,0.0641,0.0606
Telde,0.1356,0.1214
Terrassa,0.0776,0.0712
Torrejón de Ardoz,0.086,0.0752
Torrevieja,0.0857,0.0804
Valencia,0.0773,0.0703
Valladolid,0.0725,0.0672
Vigo,0.0904,0.0797
Vitoria-Gasteiz,0.0757,0.0682
Zaragoza,0.0689,0.0594
